 ,Name,Year,Races,WatersideA,WatersideB,WatersideC,WatersideD,DWSenior,DWJunior,DWEndeavour,DWVetJunior,DWSingles
1990 - Enoch Dave & Oliver George,Enoch Dave & Oliver George,1990,2,1.95,0,0,0,20.58,0,0,0,0
1990 - Ernes C R W,Ernes C R W,1990,5,2.42,3.23,4.27,6.9,0,0,0,0,21.23
1990 - Escott John & Missen Stan,Escott John & Missen Stan,1990,2,1.87,0,3.23,0,0,0,0,0,0
1990 - Essex R W & Oliver K,Essex R W & Oliver K,1990,1,0,0,0,0,23.62,0,0,0,0
1990 - Essex R & Oliver E K,Essex R & Oliver E K,1990,2,2.37,3.33,0,0,0,0,0,0,0
1990 - Evans N,Evans N,1990,1,0,0,0,0,0,0,0,0,21.15
1990 - Evans P & Jones P,Evans P & Jones P,1990,3,2.02,2.77,3.72,0,0,0,0,0,0
1990 - Fallesen D & Lee S,Fallesen D & Lee S,1990,1,0,0,0,0,26.45,0,0,0,0
1990 - Fallsen D & Lee S,Fallsen D & Lee S,1990,2,2.35,0,0,6.62,0,0,0,0,0
1990 - Farrington A,Farrington A,1990,1,0,2.62,0,0,0,0,0,0,0
1990 - Fastwood J,Fastwood J,1990,1,1.98,0,0,0,0,0,0,0,0
1990 - Faunt A & Hynds Claire,Faunt A & Hynds Claire,1990,1,0,2.8,0,0,0,0,0,0,0
1990 - Feldmanis E & Milner C,Feldmanis E & Milner C,1990,4,2.28,3.03,0,6.05,22.7,0,0,0,0
1990 - Feldroanis E & Milner C,Feldroanis E & Milner C,1990,1,0,0,3.7,0,0,0,0,0,0
1990 - Field K & Powell A. A,Field K & Powell A. A,1990,1,2.38,0,0,0,0,0,0,0,0
1990 - Field M & Powell A. A,Field M & Powell A. A,1990,3,0,3.67,4.23,6.68,0,0,0,0,0
1990 - Fielden S & Riocreux A,Fielden S & Riocreux A,1990,2,3.05,4.27,0,0,0,0,0,0,0
1990 - Filler A & Ryan A,Filler A & Ryan A,1990,5,3.07,3.88,5.07,7.48,28.63,0,0,0,0
1990 - Finbow D & Hill Nigel,Finbow D & Hill Nigel,1990,1,0,2.98,0,0,0,0,0,0,0
1990 - Finlayson I P J & Gray P G,Finlayson I P J & Gray P G,1990,1,0,0,0,0,0,22.03,0,0,0
1990 - Finlayson I P J & Sullivan G N,Finlayson I P J & Sullivan G N,1990,3,0,3.78,4.57,7.48,0,0,0,0,0
1990 - Fisher C R & Gardiner A C,Fisher C R & Gardiner A C,1990,1,0,0,0,0,23.93,0,0,0,0
1990 - Fisher C R & Higgins J,Fisher C R & Higgins J,1990,1,2.45,0,0,0,0,0,0,0,0
1990 - Fitchet A,Fitchet A,1990,2,0,0,0,5.82,0,0,0,0,17.62
